Group,Network,F,p,FDR_q,sig_age_range
22qDel,Frontoparietal,5.7400,0.002,0.0250,7.6-12.9
22qDel,Somatomotor,9.1700,0.003,0.0250,6-22.7
22qDel,Cingulo Opercular,7.1200,0.008,0.0498,6-22.7
22qDel,Auditory,4.9400,0.028,0.1040,8.9-19
22qDel,Default,2.5000,0.033,0.1040,20.8-21.4
22qDel,Dorsal Attention,2.4800,0.062,0.1600,
22qDel,Posterior Multimodal,0.0200,0.900,0.9550,
22qDel,Visual1,2.1000,0.150,0.2680,
22qDel,Visual2,1.1900,0.280,0.4310,
TD,Frontoparietal,1.0000,0.320,0.4420,
TD,Somatomotor,0.0000,0.960,0.9600,
TD,Cingulo Opercular,4.5200,0.035,0.1040,6-22.7
TD,Auditory,2.5000,0.120,0.2310,
TD,Default,0.4300,0.680,0.7650,
TD,Dorsal Attention,3.0300,0.083,0.1870,
TD,Posterior Multimodal,0.2800,0.600,0.7190,
TD,Visual1,1.2700,0.290,0.4310,
TD,Visual2,0.6000,0.440,0.5630,
